date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-05,29.9,27,35,7.9,,162,7.4,,1007.8,
2024-05-06,31.4,27,36,0,,132,11.4,,1008.4,
2024-05-07,30.9,26,36,13.9,,134,11.7,,1009.8,
2024-05-08,31,27,36,0.5,,85,10.9,,1008.9,
2024-05-09,31.7,29,37,4.2,,132,15.4,,1008.8,
2024-05-10,32.1,28,38,2,,135,14,,1009,
2024-05-11,32.3,30,37,10.8,,122,12.7,,1010.1,
2024-05-12,32.4,30,37,4.6,,132,12.9,,1009.3,
2024-05-13,32.3,29,37,5.2,,147,13.3,,1008.5,
2024-05-14,31.3,28,37,0.9,,60,9,,1008.7,
2024-05-15,30.8,24,38,10.9,,113,13.4,,1009.5,
2024-05-16,29.1,26,35,4.5,,108,8.4,,1008.9,
2024-05-17,30.7,28,34,9.6,,154,9,,1008.6,
2024-05-18,31,28,35,0.8,,165,6.9,,1006.8,
2024-05-19,31,27,35,7.1,,241,9.3,,1005.8,
2024-05-20,30.4,27,36,6.3,,202,11.1,,1006,
2024-05-21,28.7,25,35,17.8,,232,9.4,,1007.4,
2024-05-22,29.9,27,35,5.7,,213,7.1,,1007.5,
2024-05-23,29.3,28,33,13.6,,225,6.1,,1007.5,
2024-05-24,31.1,27,37,0,,98,5.3,,1007.4,
2024-05-25,32.5,30,37,2.6,,155,10.9,,1008,
2024-05-26,30.5,26,35,2.6,,216,7.5,,1008.8,
2024-05-27,31.8,29,37,1.9,,237,11.8,,1007.1,
2024-05-28,29.9,29,32,39.1,,240,9.8,,1007.3,
2024-05-29,30.7,28,34,7.6,,275,11.3,,1006.7,
2024-05-30,29.5,27,34,19.6,,241,11.5,,1007.1,
2024-05-31,28.3,26,34,8.4,,224,10.5,,1008.5,
2024-06-01,29.7,26,35,11.4,,218,6.9,,1010.3,
2024-06-02,30.2,27,34,0,,314,7.9,,1010.3,
2024-06-03,31.6,28,36,0,,284,9.8,,1008.9,
2024-06-04,32.3,28,37,0,,255,9,,1008.3,
2024-06-05,30.9,29,35,0.7,,246,13,,1009.2,
2024-06-06,31.5,28,36,7.5,,271,8.6,,1009.5,
2024-06-07,28.5,26,33,1.7,,249,9.8,,1008.3,
2024-06-08,29.3,26,35,11.1,,226,7.3,,1007,
2024-06-09,29.5,27,32,5,,232,14.1,,1007.4,
2024-06-10,29.7,28,32,6.3,,238,16,,1009.3,
2024-06-11,30.8,28,35,1.5,,248,12.3,,1010.3,
2024-06-12,30.7,27,36,3.6,,268,13.5,,1010.3,
2024-06-13,31.5,27,35,0.2,,284,12.3,,1008.4,
2024-06-14,30.2,26,36,7.1,,246,9.7,,1006.7,
2024-06-15,30.6,25,35,8.5,,255,7.1,,1006.1,
2024-06-16,29.1,24,35,6.3,,248,8.4,,1007.6,
2024-06-17,29.9,27,35,3.2,,240,9.9,,1008.1,
2024-06-18,30.4,27,35,8.8,,247,13.6,,1007.1,
2024-06-19,30.5,28,35,9.1,,245,16.8,,1005.9,
2024-06-20,29.5,24,33,13.7,,262,15.3,,1005.4,
2024-06-21,26.8,25,31,13.6,,299,9.2,,1005.2,
2024-06-22,28,25,32,12.8,,236,17.3,,1005.4,
2024-06-23,27.6,25,31,14.5,,238,20.9,,1007.1,
2024-06-24,27.6,25,30,12.4,,228,13.9,,1007.5,
2024-06-25,28.5,25,32,5.5,,244,15.3,,1007.6,
2024-06-26,28.7,25,33,0.9,,306,9.1,,1007.4,
2024-06-27,28,25,32,24.2,,317,9.4,,1008.8,
2024-06-28,29,25,33,7.2,,107,9.5,,1008.7,
2024-06-29,30,27,33,4.7,,161,12.1,,1009.2,
2024-06-30,30.4,27,35,2.2,,225,12,,1009.7,
2024-07-01,29.8,26,33,1.5,,259,14.3,,1008.2,
2024-07-02,29.4,26,35,22.9,,284,8.7,,1006.4,
2024-07-03,28,25,32,15.9,,244,9.5,,1008.3,
2024-07-04,27.4,25,31,8.7,,209,9.2,,1010,
2024-07-05,28.9,26,33,3.7,,307,11.3,,1008,
2024-07-06,30,26,35,3.9,,190,9.2,,1006.1,
2024-07-07,29.7,27,33,10.4,,195,11.7,,1006.8,
2024-07-08,29,25,33,7.8,,209,8.8,,1007.1,
2024-07-09,29.4,26,33,9.3,,205,9.8,,1008.3,
2024-07-10,28,24,32,12.8,,227,11.1,,1009.8,
2024-07-11,27.3,25,31,25,,248,13.7,,1008.4,
2024-07-12,28,26,32,4.4,,248,18.1,,1006.7,
2024-07-13,28,25,31,29.4,,263,16.6,,1005.4,
2024-07-14,26.8,25,31,12.2,,261,17.4,,1005.5,
2024-07-15,27.7,23,33,15.9,,261,14.1,,1005.2,
2024-07-16,26.9,24,31,9.2,,252,15,,1005.4,
2024-07-17,26.4,25,32,14.4,,233,19,,1006.1,
2024-07-18,27.3,24,31,21.7,,248,15.3,,1007.2,
2024-07-19,27.5,24,31,3.9,,255,15.1,,1007.1,
2024-07-20,27,25,29,18.4,,245,12.7,,1007.7,
2024-07-21,28.3,26,32,13.1,,268,14.6,,1007.6,
2024-07-22,27.9,26,31,7.8,,240,17.9,,1007.9,
2024-07-23,29.4,26,33,2.5,,240,19.6,,1007.3,
2024-07-24,29.6,27,33,0.1,,247,20.8,,1005.7,
2024-07-25,28,25,32,8.7,,249,18,,1004.8,
2024-07-26,28,25,32,13.8,,241,16.4,,1006,
2024-07-27,27.5,25,30,23.3,,232,13.3,,1007.6,
2024-07-28,28.3,26,31,23.3,,231,14.2,,1007.5,
2024-07-29,29.2,26,33,14.9,,236,13.9,,1007.2,
2024-07-30,29.7,27,34,4.4,,235,15,,1008.6,
2024-07-31,29.6,27,34,12.6,,238,13.2,,1010,
2024-08-01,29.8,27,35,3.5,,237,10.8,,1010.1,
2024-08-02,29.7,25,35,17.1,,247,9.9,,1009.2,
2024-08-03,28.3,26,32,9.8,,214,10.3,,1009.4,
2024-08-04,27.1,26,30,4.9,,241,11.4,,1009.4,
2024-08-05,28.9,25,34,19,,260,10.7,,1008.5,
2024-08-06,28.8,26,34,9.5,,255,12.3,,1007.5,
2024-08-07,29.7,27,34,10.3,,250,13,,1008.3,
2024-08-08,30.2,27,35,0,,245,13.6,,1009,
2024-08-09,29.8,27,34,2.5,,223,13.1,,1008.3,
2024-08-10,30.6,27,35,2.8,,247,15,,1007.2,
2024-08-11,30.6,28,35,1.8,,243,17.9,,1005.8,
2024-08-12,29.2,26,35,7.4,,234,19.1,,1006.5,
2024-08-13,30,26,35,0.7,,233,10.9,,1007.6,
2024-08-14,30.1,26,35,3,,237,12.8,,1007.2,
2024-08-15,30.1,27,35,7.2,,244,13,,1006.7,
2024-08-16,30,27,34,6.9,,220,12.5,,1006.7,
2024-08-17,29.4,26,34,7.5,,250,9,,1008,
2024-08-18,30.8,26,35,0.1,,207,9,,1008.4,
2024-08-19,30.3,28,34,0,,227,11.1,,1008,
2024-08-20,29.7,26,35,0.8,,230,9.5,,1008.8,
2024-08-21,29.7,26,34,1.6,,241,8,,1009.6,
2024-08-22,30,26,35,2,,155,8,,1009.5,
2024-08-23,28.7,27,33,3.1,,258,8.4,,1010.2,
2024-08-24,28.8,24,34,1.4,,287,6.9,,1009.5,
2024-08-25,27.5,25,33,3.4,,247,9.5,,1008.7,
2024-08-26,28.1,25,33,6.7,,238,9.6,,1008.4,
2024-08-27,27.8,26,31.3,6.6,,235,9.4,,1008.8,
2024-08-28,27.7,26,32,,,236,12.9,,1008.6,
2024-08-29,28.2,25,31,,,248,17.2,,1008.8,
2024-08-30,28.5,24,33,,,277,15.4,,1009.1,
2024-08-31,27,24,32,,,310,9.3,,1008.8,
2024-09-01,26.6,24,31,,,307,9.7,,1008.1,
2024-09-02,26.6,24,30,,,215,9,,1008.3,
2024-09-03,28,25,32,,,235,15.7,,1008.7,
2024-09-04,26.5,25,30,,,236,12.9,,1007.6,
2024-09-05,28.5,25,33,13.7,,245,15.8,,1004.3,
2024-09-06,28.2,26,32,10.9,,245,20.1,,1004.8,
2024-09-07,28.9,25,32,12.4,,234,20.8,,1007,
2024-09-08,28.8,26,32,26.4,,241,16.4,,1008.6,
2024-09-09,29.8,27,34,5.8,,266,15,,1006.8,
2024-09-10,29.2,27,34,20.6,,275,11.5,,1006.1,
2024-09-11,27.8,25,34,6.3,,303,8.8,,1007.7,
2024-09-12,28.3,26,33,14.7,,281,8.7,,1008.1,
2024-09-13,27.9,25,33,21.3,,252,11.9,,1006.7,
2024-09-14,28,25,31,20.6,,242,15.6,,1005.3,
2024-09-15,27.5,26,30,9.3,,252,13.5,,1004.8,
2024-09-16,27.8,26,31,23.6,,268,14.5,,1003.8,
2024-09-17,26.7,25,29,20.8,,255,13.1,,1002.7,
2024-09-18,25.5,23,28,25.4,,261,8.5,,1001.5,
2024-09-19,28.1,25,32,3.4,,240,18.1,,1002,
2024-09-20,26.7,25,30,8.8,,236,15.5,,1004.1,
2024-09-21,26.1,25,28,17.3,,221,15.1,,1006.4,
2024-09-22,26.5,25,29,10.7,,206,8.4,,1007.6,
2024-09-23,27.8,25,32,27.3,,198,8.7,,1009.5,
2024-09-24,28.4,26,31,4.9,,61,5.4,,1009.5,
2024-09-25,28.4,26,33,3.4,,112,6.9,,1009.9,
2024-09-26,28.4,25,33,8.3,,151,9.7,,1009.8,
2024-09-27,28.7,24.6,33,5.4,,107,10.5,,1009.5,
2024-09-28,29.8,27,35,0.6,,159,8.7,,1008.8,
2024-09-29,30.5,27,35,3.1,,260,11.1,,1008.3,
2024-09-30,30.3,27,34,17.9,,237,12.6,,1007.4,
2024-10-01,29.5,24,34,6.1,,246,10.5,,1007.1,
2024-10-02,29.8,27,34,5.2,,202,8.4,,1008.8,
2024-10-03,27.4,26,30,22.5,,22,7.7,,1009.8,
2024-10-04,27.8,25,33,4.5,,333,8.1,,1009.8,
2024-10-05,28,25,33,0.7,,334,7.6,,1008.9,
2024-10-06,27.7,25,32,12.5,,322,9.3,,1009.8,
2024-10-07,28.5,24.4,33,12,,276,5.4,,1010.5,
2024-10-08,27.5,24.6,31.7,3.2,,148,4.2,,1010.7,
2024-10-09,27.1,24.6,31.2,9.5,,33,4.2,,1010.2,
